2016-02-17 11:48:41	thomas	http://scuderia/admin/login/	Security Warning: /install.php exists and should be deleted as soon as possible.
2016-02-17 12:49:49	guest	http://scuderia.local/token_exchange/	Error: 	Exception: Can't save page 41: /admin/access/users//: It has an empty 'name' field (in /home/thomas/www/scuderia/wire/core/PagesEditor.php line 457)
2016-02-17 12:50:15	guest	http://scuderia.local/token_exchange/	Error: 	Exception: Can't save page 41: /admin/access/users//: It has an empty 'name' field (in /home/thomas/www/scuderia/wire/core/PagesEditor.php line 457)  #0 /home/thomas/www/scuderia/wire/core/Pages.php(237): ProcessWire\PagesEditor->save(Object(ProcessWire\User), Array) #1 [internal function]: ProcessWire\Pages->___save(Object(ProcessWire\User), Array) #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___save', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'save', Array) #5 /home/thomas/www/scuderia/wire/core/Page.php(1602): ProcessWire\Wire->__call('save', Array) #6 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(49): ProcessWire\Page->save() #7 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(33): add_user(true) #8 /home/thomas
2016-02-17 12:51:33	guest	http://scuderia.local/token_exchange/	Error: 	Exception: Can't save page 41: /admin/access/users//: It has an empty 'name' field (in /home/thomas/www/scuderia/wire/core/PagesEditor.php line 457)  #0 /home/thomas/www/scuderia/wire/core/Pages.php(237): ProcessWire\PagesEditor->save(Object(ProcessWire\User), Array) #1 [internal function]: ProcessWire\Pages->___save(Object(ProcessWire\User), Array) #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___save', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'save', Array) #5 /home/thomas/www/scuderia/wire/core/Page.php(1602): ProcessWire\Wire->__call('save', Array) #6 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(50): ProcessWire\Page->save() #7 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(33): add_user(true) #8 /home/thomas
2016-02-17 12:53:32	guest	http://scuderia.local/token_exchange/	Error: 	Exception: Can't save page 41: /admin/access/users//: It has an empty 'name' field (in /home/thomas/www/scuderia/wire/core/PagesEditor.php line 457)  #0 /home/thomas/www/scuderia/wire/core/Pages.php(237): ProcessWire\PagesEditor->save(Object(ProcessWire\User), Array) #1 [internal function]: ProcessWire\Pages->___save(Object(ProcessWire\User), Array) #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___save', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'save', Array) #5 /home/thomas/www/scuderia/wire/core/Page.php(1602): ProcessWire\Wire->__call('save', Array) #6 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(51): ProcessWire\Page->save() #7 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(33): add_user(true) #8 /home/thomas
2016-02-17 12:55:56	guest	http://scuderia.local/token_exchange/	Error: 	Uncaught Error: Call to undefined function wire() in /home/thomas/www/scuderia/site/templates/token_exchange.php:45 Stack trace: #0 /home/thomas/www/scuderia/site/templates/token_exchange.php(34): add_user(true) #1 /home/thomas/www/scuderia/wire/core/TemplateFile.php(218): require('/home/thomas/ww...') #2 [internal function]: ProcessWire\TemplateFile->___render() #3 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #4 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___render', Array) #5 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #6 /home/thomas/www/scuderia/wire/modules/PageRender.module(500): ProcessWire\Wire->__call('render', Array) #7 [internal function]: ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #8 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #9 /home/thomas/www/scuderia/wire (line 45 of /home/thomas/www/scuderia/site/templates/token_exchange.php)
2016-02-17 13:03:05	guest	http://scuderia.local/token_exchange/	Error: 	Exception: Can't save page 41: /admin/access/users//: It has an empty 'name' field (in /home/thomas/www/scuderia/wire/core/PagesEditor.php line 457)  #0 /home/thomas/www/scuderia/wire/core/Pages.php(237): ProcessWire\PagesEditor->save(Object(ProcessWire\User), Array) #1 [internal function]: ProcessWire\Pages->___save(Object(ProcessWire\User), Array) #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___save', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'save', Array) #5 /home/thomas/www/scuderia/wire/core/Page.php(1602): ProcessWire\Wire->__call('save', Array) #6 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(53): ProcessWire\Page->save() #7 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(31): add_user('{"access_token"...')
2016-02-17 13:05:27	guest	http://scuderia.local/token_exchange/	Error: 	Exception: Can't save page 41: /admin/access/users//: It has an empty 'name' field (in /home/thomas/www/scuderia/wire/core/PagesEditor.php line 457)  #0 /home/thomas/www/scuderia/wire/core/Pages.php(237): ProcessWire\PagesEditor->save(Object(ProcessWire\User), Array) #1 [internal function]: ProcessWire\Pages->___save(Object(ProcessWire\User), Array) #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___save', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'save', Array) #5 /home/thomas/www/scuderia/wire/core/Page.php(1602): ProcessWire\Wire->__call('save', Array) #6 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(55): ProcessWire\Page->save() #7 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(31): add_user('{"access_token"...')
2016-02-17 13:05:39	guest	http://scuderia.local/token_exchange/	Error: 	Exception: Can't save page 41: /admin/access/users//: It has an empty 'name' field (in /home/thomas/www/scuderia/wire/core/PagesEditor.php line 457)  #0 /home/thomas/www/scuderia/wire/core/Pages.php(237): ProcessWire\PagesEditor->save(Object(ProcessWire\User), Array) #1 [internal function]: ProcessWire\Pages->___save(Object(ProcessWire\User), Array) #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___save', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'save', Array) #5 /home/thomas/www/scuderia/wire/core/Page.php(1602): ProcessWire\Wire->__call('save', Array) #6 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(55): ProcessWire\Page->save() #7 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(31): add_user('{"access_token"...')
2016-02-17 13:08:15	tomfrit	http://scuderia.local/token_exchange/	Error: 	Exception: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'tomfrit-29' for key 'name_parent_id' (in /home/thomas/www/scuderia/wire/core/WireDatabasePDO.php line 233)  #0 /home/thomas/www/scuderia/wire/core/WireDatabasePDO.php(233): PDOStatement->execute() #1 /home/thomas/www/scuderia/wire/core/PagesEditor.php(573): ProcessWire\WireDatabasePDO->execute(Object(PDOStatement)) #2 /home/thomas/www/scuderia/wire/core/PagesEditor.php(467): ProcessWire\PagesEditor->savePageQuery(Object(ProcessWire\User), Array) #3 /home/thomas/www/scuderia/wire/core/Pages.php(237): ProcessWire\PagesEditor->save(Object(ProcessWire\User), Array) #4 [internal function]: ProcessWire\Pages->___save(Object(ProcessWire\User), Array) #5 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #6 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___save', Array) #7 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(P
2016-02-17 13:11:28	tomfrit	http://scuderia.local/token_exchange/	Error: 	Uncaught Error: Call to a member function removeAll() on null in /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php:58 Stack trace: #0 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(31): add_user('{"access_token"...') #1 /home/thomas/www/scuderia/wire/core/TemplateFile.php(218): require('/home/thomas/ww...') #2 [internal function]: ProcessWire\TemplateFile->___render() #3 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #4 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___render', Array) #5 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #6 /home/thomas/www/scuderia/wire/modules/PageRender.module(500): ProcessWire\Wire->__call('render', Array) #7 [internal function]: ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #8 /home/thomas/www/scuderia/wir (line 58 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php)
2016-02-17 13:24:21	guest	http://scuderia.local/token_exchange/	Error: 	Exception: Can't save page 1018: /admin/access/users/tomfrit/: Call $page->setOutputFormatting(false) before getting/setting values that will be modified and saved.  [avatar] (in /home/thomas/www/scuderia/wire/core/PagesEditor.php line 457)  #0 /home/thomas/www/scuderia/wire/core/Pages.php(237): ProcessWire\PagesEditor->save(Object(ProcessWire\User), Array) #1 [internal function]: ProcessWire\Pages->___save(Object(ProcessWire\User), Array) #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___save', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'save', Array) #5 /home/thomas/www/scuderia/wire/core/Page.php(1602): ProcessWire\Wire->__call('save', Array) #6 /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/token_exchange.php(61): ProcessWire\Page->save() #7 /home/thomas/www/scuderia/site/ass
2016-02-17 13:37:44	tomfrit	http://scuderia.local/	Parse Error: 	syntax error, unexpected '<', expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF) (line 7 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/home.php)
2016-02-17 14:15:49	tomfrit	http://scuderia.local/	Error: 	Uncaught Error: Call to a member function delete() on integer in /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/home.php:1 Stack trace: #0 /home/thomas/www/scuderia/wire/core/TemplateFile.php(218): require() #1 [internal function]: ProcessWire\TemplateFile->___render() #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___render', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #5 /home/thomas/www/scuderia/wire/modules/PageRender.module(500): ProcessWire\Wire->__call('render', Array) #6 [internal function]: ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #7 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #8 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___renderPage' (line 1 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/home.php)
2016-02-17 14:16:05	tomfrit	http://scuderia.local/	Error: 	Uncaught Error: Call to a member function delete() on integer in /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/home.php:1 Stack trace: #0 /home/thomas/www/scuderia/wire/core/TemplateFile.php(218): require() #1 [internal function]: ProcessWire\TemplateFile->___render() #2 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #3 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___render', Array) #4 /home/thomas/www/scuderia/wire/core/Wire.php(327): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #5 /home/thomas/www/scuderia/wire/modules/PageRender.module(500): ProcessWire\Wire->__call('render', Array) #6 [internal function]: ProcessWire\PageRender->___renderPage(Object(ProcessWire\HookEvent)) #7 /home/thomas/www/scuderia/wire/core/Wire.php(303): call_user_func_array(Array, Array) #8 /home/thomas/www/scuderia/wire/core/WireHooks.php(555): ProcessWire\Wire->_callMethod('___renderPage' (line 1 of /home/thomas/www/scuderia/site/assets/cache/FileCompiler/site/templates/home.php)
